12997;FLIXONASE ACUOSO NASAL;GLAXOSMITHKLINE;249;64;1;7;61.82;
18764;FLIXOTIDE HFA;GLAXOSMITHKLINE;31;63;1;10;71.75;
13104;SEREVENT ROTADISK;GLAXOSMITHKLINE;175;60;1;1;41.73;
15753;ATROVENT;BOEHRINGER INGEL;175;60;1;1;11.46;
15755;BERODUAL;BOEHRINGER INGEL;175;60;1;1;12.60;
12218;PROPAVENT FORTE HFA;GLAXOSMITHKLINE;31;60;1;10;87.16;
15415;PROPAVENT ROTADISK;GLAXOSMITHKLINE;31;60;1;10;38.60;
15416;PROPAVENT ROTADISK;GLAXOSMITHKLINE;31;60;1;10;29.83;
15417;PROPAVENT ROTADISK;GLAXOSMITHKLINE;31;60;1;10;73.53;
10597;ATROVENT;BOEHRINGER INGEL;175;60;1;10;27.10;
10761;SEREVENT AEROSOL;GLAXOSMITHKLINE;175;60;1;10;78.18;
12251;BEROTEC;BOEHRINGER INGEL;175;60;1;10;20.90;
13001;VENTOLIN HFA;GLAXOSMITHKLINE;175;60;1;10;25.85;
13094;SEREVENT ROTADISK;GLAXOSMITHKLINE;175;60;1;10;76.51;
15419;VENTOLIN ROTADISK;GLAXOSMITHKLINE;175;60;1;10;51.87;
15421;VENTOLIN ROTADISK;GLAXOSMITHKLINE;175;60;1;10;45.62;
15784;MEDIHALER;3 M;175;60;1;10;27.57;
16115;COMBIVENT;BOEHRINGER INGEL;175;60;1;10;14.70;
16312;BEROTEC;BOEHRINGER INGEL;175;60;1;10;13.80;
1634;BERODUAL;BOEHRINGER INGEL;175;60;1;10;30.40;
19694;SEREVENT AEROSOL;GLAXOSMITHKLINE;175;60;3;10;102.36;
14493;SALBUTOL BIPACK;CASSARÁ;175;59;1;1;28.07;
13700;PULMOLISOFLAM C/AEROCAMARA;PFIZER;31;59;1;10;110.55;
13701;PULMOLISOFLAM PEDIATRICO C/OPTICHAMBER;PFIZER;31;59;1;10;118.50;
14281;AUTOBEC AUTOHALER;3 M;31;59;1;10;41.02;
14282;AUTOBEC FORTE AUTOHALER;3 M;31;59;1;10;48.41;
14482;SPIROCORT TURBUHALER;ASTRAZENECA;31;59;1;10;64.57;
14483;SPIROCORT TURBUHALER;ASTRAZENECA;31;59;1;10;86.59;
14484;SPIROCORT TURBUHALER;ASTRAZENECA;31;59;1;10;106.17;
